window,ppo,rsi,Pct_Change_Vol_1,Pct_Change_Vol_2,Pct_Change_Vol_3,Pct_Change_Vol_4,Pct_Change_Vol_5,Pct_Change_Vol_6,Pct_Change_Vol_7,Pct_Change_Vol_8,Pct_Change_Vol_9,Pct_Change_Vol_10,Pct_Change_Vol_11,Pct_Change_Vol_12,Pct_Change_Vol_13,Pct_Change_Vol_14,Pct_Change_Vol_15,Pct_Change_Vol_16,Pct_Change_Vol_17,Pct_Change_Vol_18,Pct_Change_Vol_19,Pct_Change_Vol_20,Pct_Change_Vol_21,Pct_Change_Vol_22,Pct_Change_Vol_23,Pct_Change_Vol_24,Pct_Change_Vol_25
1327,2,4,0.07247638986622373,-0.02009236119588198,-0.02601205855931321,0.013517177241155975,-0.013368255954203545,-0.03264920742858357,-0.029109347174802624,-0.0326990542537382,0.022167834209097848,0.08476027285489596,0.00287573092181459,-0.020709844573710612,-0.04322672179693532,0.0364529716374582,0.0033214152705334232,0.006675949991517882,-0.010763312278131543,-0.022210156047239193,0.014245191481873754,0.01922288564717478,0.0002558801412724243,-0.0372934264480429,-0.018699008280926632,0.007934720776564097,-0.0018267366680506658
1352,1,1,0.013251544513481761,0.010234748918109826,-0.0013466266064944277,-0.02414272375980453,0.07209568854738646,0.014903662477361967,-0.042306299409736625,-0.023752705132183416,-0.047621243453629725,-0.03350542508647736,-0.013773407338697252,-0.04879585252072982,-0.041327695728532565,0.00934551182875154,0.02117727018138571,0.007215309620066002,-0.04028964017271397,-0.03735092920633876,-0.02911158083513743,-0.03991972011297118,-0.0770479421549417,0.1122840437618402,0.06790141366284974,0.055575623204503044,-0.016914475081292513
1377,1,1,0.01063440035681884,-0.010062274174088892,-0.02654202905117453,-0.009051108685066866,0.031310813890232714,0.016471822092744448,0.04531738929765905,0.1341253713681072,0.011795156417141905,-0.010982681706217079,0.00111877616849676,0.01705684374979355,-0.01800233877016677,-0.030548877744438485,-0.017132526058554975,-0.04939681495256376,-0.0730031655733605,-0.05608584613158807,-0.06791166522018366,-0.047530208195336376,0.10858620127520391,0.08161615814119294,0.04473194358267851,0.09938805755875357,0.05584313358442805
1402,1,1,0.06916670604766617,0.08108529855961111,0.005274815994523729,-0.014029090274307321,-0.025144391790911325,0.005963806392308202,-0.021929803418978322,-0.027898407310631312,0.009863277032618356,0.010670209142831899,0.0463225404964267,0.02782449311817281,-0.014241890778427857,-0.00957316030592148,0.021777720483703966,-0.017614463981202366,-0.06855458815417614,-0.0760708818192638,-0.0469794756813775,-0.047060039417837096,0.013561061955611908,0.12423519377559744,-0.007639548628227466,-0.043793049878149914,0.06639372763399098
1427,14,7,-0.05651267307709984,-0.06515089016709807,0.035557084175136255,-0.00032544392829536584,-0.02825645323989312,0.012715657257585722,0.011977125614714978,0.4014629921213346,0.18179660086609428,0.09811614316045847,0.005848410192516029,0.062179022374095005,0.010115630988989821,-0.026659571795003778,0.012812985023013201,-0.036764604159931324,-0.0014795956666662224,0.3531421584136125,0.0851432136883492,-0.048646814916863956,-0.03039982081344894,-0.058009728813212535,-0.07130050811266364,-0.007524139843612776,-0.04576006479519734
1452,1,1,-0.08168591895936861,-0.05344354059700929,-0.07571861846939654,-0.013299951027652024,-0.04011037680695195,-0.05771175056227673,-0.03960562761885811,-0.0509345837174523,-0.06430157630071354,-0.08427693139942238,-0.06274194596283011,-0.07300661079115989,0.007351809909480922,-0.04007473081458024,-0.024086215322202453,0.15400124622542544,0.0078824295620743,0.006956272838944733,0.07949504421366038,0.026136800903628687,-0.01587149133642929,0.008252758677625094,0.028495150058788443,-0.043878831646465,-0.06638708314737096
1477,11,14,-0.011027045540647484,0.01191970557832045,-0.027398610964143866,-0.03573925084170759,0.0024237024790665362,-0.025502262572420498,-0.015250250231065077,-0.004007002679498273,-0.010122538519846014,-0.008857595305357457,-0.013293876991203435,0.018809603540657527,-0.0023002233976306963,-0.030679511377212698,0.05038616348924507,0.0709878220655642,-0.057541006660621896,-0.03138111143618805,0.029774741666583004,-0.03703490166883172,-0.042503001876500024,0.014073213362702397,-0.013278196988158353,-0.026475523395796174,-0.04479818929723001
1502,1,1,-0.030816244590231134,-0.0015339740915156774,0.13536707660369673,0.025942131006986724,-0.026619713957626523,0.07411735936083619,0.055107640873426345,0.23318141059715725,0.00830495238143758,-0.05926227189003652,-0.048472581748042365,-0.012852753128470562,0.05044601644457103,0.07416486751241513,0.09723192901226474,0.03828031899730444,0.017994295095072665,-0.04191354196007324,-0.0004141118087549467,-0.05573662795168999,-0.05704695441593777,-0.03563267606167808,-0.06001640737858083,-0.05701598609463865,0.050565737521208964
1527,1,1,0.06429429553860988,-0.014377383300140711,-0.023238375090410157,-0.04281250089645483,-0.014726026094299405,0.14118988960347711,0.05587778363746221,0.15139795059296302,-0.012359768410388994,0.07403335574455516,0.08563143342822799,0.20539271094263944,0.07015338121367565,-0.0041735306009805795,0.027879052326962084,0.04140806118403839,-0.0026337004300890365,0.07505141487713707,0.048752342869679444,0.07922306779504429,0.04180079639254064,0.036194610038535746,0.02437382851459069,-0.022611949184438984,0.07662559438288996
1552,1,1,0.027708463783508108,0.09469591757673457,0.039948558356001085,-0.06203791784895085,-0.06620583252817347,-0.04701612454217674,-0.0657703600706877,-0.07399442879297713,-0.08953348191107424,-0.030776140243328087,-0.013887864153270923,-0.04782637219038044,-0.025448105656277753,-0.03239638033577397,-0.04283354282201057,-0.034471805651812626,0.04856076555915312,0.011718755144792592,-0.011047171255510135,-0.05527290809087593,-0.0015730476221819112,-0.02773317929585395,-0.046171475328592226,0.1681215382415937,0.1343459738040378
1577,1,13,0.14769161276469145,0.020329616694388708,-0.027703410587017863,-0.04063454624818574,-0.04637335909302609,-0.06595230808508246,-0.08430113483597401,-0.031647249668455446,-0.033842459443931605,-0.020387857933362064,-0.018707305281853936,-0.053333684622888566,-0.09382168329346074,0.08797802686953649,-0.011505112019148278,0.03775685187682787,-0.06007961416741614,-0.04677874082938116,-0.0352673240449326,-0.0015363061187732008,-0.04595462269910233,0.07421698415119637,0.04318049381199396,-0.026882414909236707,0.048018192610191246
1602,1,1,0.030210875592228348,-0.015081168623096164,-0.005407192830982344,0.0038635775277351403,0.06233807871144026,0.024108599971056854,0.19395976476077914,0.09349296728349676,0.010899640492308738,-0.015579830043970677,0.06200243835735586,0.016145551664835223,-0.011903689910260251,0.01958894519491894,-0.017487415536554085,-0.05189064571738988,-0.04798713973434643,-0.03245626607913654,-0.0007443017850693456,0.015809107550709633,-0.10065599998693531,-0.03130216697226229,0.00012578412798691652,0.04861544933673856,-0.03372627943008566
1627,1,7,-0.0027690196788905386,-0.06711686403338213,-0.007096828792459542,0.024527594221128934,-0.01962551047465466,-0.046951880707378546,-0.032844027562268674,0.036273206722412965,0.10507367634129405,0.06879502409668015,-0.028100192145185443,0.01273524739701104,0.21671694169122957,-0.03315435421099133,-0.04777000276058663,-0.034229272272261135,-0.11482621981008667,-0.09853458350087552,-0.0779863608912128,-0.08855532521501841,-0.05456196052911244,0.018471202947929255,-0.016850595925148038,0.028750973777365685,0.1265055693662609
1652,1,1,0.05638848569368027,0.07963543878662982,0.04785176101186317,0.007102914313958708,-0.032700173474155436,-0.003390471024556918,0.020301187066277704,0.007103525086706419,0.04099037929079641,0.0839811108940074,0.04948668962081659,-0.022155289545416346,0.0036610895417465983,-0.039489404305645626,-0.07035035095247211,0.06676135679907946,0.020116723182217466,-0.013220199874280136,-0.04794722056894607,0.008948957450364281,-0.03285463986988979,-0.01763981748617005,-0.05318418214380527,-0.033931755301913835,0.10343486609935759
