,std,Date,pos_k,neg_k,pos_k_t,neg_k_t,pos_k_hl,neg_k_hl
228,7.916860797962779,2002-03-25,,,30.0,6.0,3.068866733595134e-105,1.2513984303417641e-21
229,10.532167364064685,2002-03-26,1.0,,0.0,7.0,1.0,4.1079789249195397e-25
230,12.41865758219905,2002-03-27,1.0,,0.0,8.0,1.0,1.3485306069126542e-28
231,13.623179193458947,2002-03-28,,,1.0,9.0,0.00032827106262212926,4.4268357530968343e-32
232,14.300997243978914,2002-04-01,,,2.0,10.0,1.0776189055506189e-07,1.4532020767227367e-35
233,13.910359336398834,2002-04-02,,,3.0,11.0,3.537511032267976e-11,4.770441899304526e-39
234,12.71059586880759,2002-04-03,,,4.0,12.0,1.1612625056001137e-14,1.5659980314618308e-42
235,10.609179374463507,2002-04-04,,,5.0,13.0,3.81208876696587e-18,5.140718378521396e-46
236,8.021670880435895,2002-04-05,,,6.0,14.0,1.2513984303417641e-21,1.6875490847583098e-49
237,5.6623996759396755,2002-04-08,,,7.0,15.0,4.1079789249195397e-25,5.53973531280614e-53
238,6.313782847554667,2002-04-09,,,8.0,16.0,1.3485306069126542e-28,1.8185347977802114e-56
239,8.289049497378677,2002-04-10,,,9.0,17.0,4.4268357530968343e-32,5.96972350482631e-60
240,9.338234617124321,2002-04-11,,,10.0,18.0,1.4532020767227367e-35,1.9596874784896414e-63
241,10.168519668322585,2002-04-12,,,11.0,19.0,4.770441899304526e-39,6.433086909710779e-67
242,9.854028806339969,2002-04-15,,,12.0,20.0,1.5659980314618308e-42,2.1117962757912746e-70
243,8.98922140824743,2002-04-16,,,13.0,21.0,5.140718378521396e-46,6.9324160749543954e-74
244,7.19475159809967,2002-04-17,,,14.0,22.0,1.6875490847583098e-49,2.2757115914640177e-77
245,5.3479954439924295,2002-04-18,,,15.0,23.0,5.53973531280614e-53,7.470502623513925e-81
246,5.6141631499012306,2002-04-19,,,16.0,24.0,1.8185347977802114e-56,2.4523498345423292e-84
247,8.477258741813616,2002-04-22,,,17.0,25.0,5.96972350482631e-60,8.050354861064161e-88
248,12.847496692812594,2002-04-23,,,18.0,26.0,1.9596874784896414e-63,2.6426985447267654e-91
249,16.696176210827666,2002-04-24,,,19.0,27.0,6.433086909710779e-67,8.675214594674127e-95
250,20.183815947991057,2002-04-25,,,20.0,28.0,2.1117962757912746e-70,2.847821913468609e-98
251,22.455276809009458,2002-04-26,1.0,,0.0,29.0,1.0,9.34857525692929e-102
252,24.21289122622749,2002-04-29,1.0,,0.0,30.0,1.0,3.068866733595134e-105
253,24.67517329263987,2002-04-30,1.0,,0.0,31.0,1.0,1.0074201436829809e-108
254,22.996952521490215,2002-05-01,1.0,,0.0,32.0,1.0,3.3070688107375146e-112
255,19.50825046825117,2002-05-02,,,1.0,33.0,0.00032827106262212926,1.085614992665278e-115
256,15.146713442092706,2002-05-03,,,2.0,34.0,1.0776189055506189e-07,3.5637598724075725e-119
257,10.560218395173225,2002-05-06,,,3.0,35.0,3.537511032267976e-11,1.1698792402453084e-122
258,7.602184793261227,2002-05-07,,,4.0,36.0,1.1612625056001137e-14,3.840375013349089e-126
259,5.406282566788246,2002-05-08,,,5.0,37.0,3.81208876696587e-18,1.2606839864995479e-129
260,4.55880733266379,2002-05-09,,,6.0,38.0,1.2513984303417641e-21,4.1384607187892184e-133
261,5.086881153288926,2002-05-10,,,7.0,39.0,4.1079789249195397e-25,1.3585368977768435e-136
262,6.38787409875585,2002-05-13,,,8.0,40.0,1.3485306069126542e-28,4.459683510445897e-140
263,7.940231239803904,2002-05-14,,,9.0,41.0,4.4268357530968343e-32,1.4639850449324258e-143
264,10.642784108433762,2002-05-15,,,10.0,42.0,1.4532020767227367e-35,4.8058392636286104e-147
265,11.5370551341692,2002-05-16,,,11.0,43.0,4.770441899304526e-39,1.5776179618625653e-150
266,10.819774418693978,2002-05-17,,,12.0,44.0,1.5659980314618308e-42,5.178863247523692e-154
267,9.845251338666651,2002-05-20,,,13.0,45.0,5.140718378521396e-46,1.700070941439348e-157
268,10.049567334458906,2002-05-21,,,14.0,46.0,1.6875490847583098e-49,5.580840944792845e-161
269,9.417143053347228,2002-05-22,,,15.0,47.0,5.53973531280614e-53,1.8320285872722933e-164
270,8.1845157155391,2002-05-23,,,16.0,48.0,1.8185347977802114e-56,6.01401971097979e-168
271,7.0290365711679765,2002-05-24,,,17.0,49.0,5.96972350482631e-60,1.9742286411537172e-171
272,6.1420563382812,2002-05-28,,,18.0,50.0,1.9596874784896414e-63,6.480821338905937e-175
273,5.623283083490526,2002-05-29,,,19.0,51.0,6.433086909710779e-67,2.1274661075867693e-178
274,6.5495830025443444,2002-05-30,,,20.0,52.0,2.1117962757912746e-70,6.983855598300962e-182
275,7.283676001590024,2002-05-31,,,21.0,53.0,6.9324160749543954e-74,2.292597698453706e-185
276,8.643273571005732,2002-06-03,,,22.0,54.0,2.2757115914640177e-77,7.5259348263647e-189
277,10.78601363484697,2002-06-04,,,23.0,55.0,7.470502623513925e-81,2.470546622675568e-192
278,13.056007541569242,2002-06-05,,,24.0,56.0,2.4523498345423292e-84,8.110089650832011e-196
279,15.408684828143567,2002-06-06,,,25.0,57.0,8.050354861064161e-88,2.6623077476394424e-199
280,16.725040844735954,2002-06-07,1.0,,0.0,58.0,1.0,8.739585933447055e-203
281,17.379928498615833,2002-06-10,1.0,,0.0,59.0,1.0,2.86895316125017e-206
282,18.34197242983352,2002-06-11,,,1.0,60.0,0.00032827106262212926,9.417943028566867e-210
283,18.52453253088765,2002-06-12,,,2.0,61.0,1.0776189055506189e-07,3.091638165702418e-213
284,18.37651631619985,2002-06-13,,,3.0,62.0,3.537511032267976e-11,1.014895345898238e-216
285,16.69073933758288,2002-06-14,1.0,,0.0,63.0,1.0,3.3316077364827866e-220
286,13.848565807602245,2002-06-17,,,1.0,64.0,0.00032827106262212926,1.0936704118952838e-223
287,11.629157914233328,2002-06-18,,,2.0,65.0,1.0776189055506189e-07,3.5902034827125807e-227
288,10.878299052002818,2002-06-19,,,3.0,66.0,3.537511032267976e-11,1.1785599122996318e-230
289,12.16042924764068,2002-06-20,,,4.0,67.0,1.1612625056001137e-14,3.868871147744559e-234
290,13.70411492491899,2002-06-21,,,5.0,68.0,3.81208876696587e-18,1.270038442818244e-237
291,15.571380984210126,2002-06-24,,,6.0,69.0,1.2513984303417641e-21,4.169168691949125e-241
292,16.722427470243222,2002-06-25,,,7.0,70.0,4.1079789249195397e-25,1.36861743675694e-244
