Date,pos_k,neg_k,pos_k_hl,neg_k_hl,POS_DI14,NEG_DI14,ADX,pos_k_copy,neg_k_copy,pos_k_hl_copy,neg_k_hl_copy
2011-03-21,0.0,0.0,0.0,0.0,26.389703510409174,32.661869272677606,29.5570753154038,0.0,0.0,0.0,0.0
2011-03-22,0.0,0.0,0.0,0.0,27.005941146005807,32.72485595482346,28.129747268316464,0.0,0.0,0.0,0.0
2011-03-23,0.0,0.0,0.0,0.0,22.53005692143357,38.42246164381727,27.982866579966373,0.0,0.0,0.0,0.0
2011-03-24,0.0,0.0,0.0,0.0,23.888488664138716,33.00595210637998,27.128749486996213,0.0,0.0,0.0,0.0
2011-03-25,0.0,0.0,0.0,0.0,23.735526716409698,30.784537667679395,26.1144963173348,0.0,0.0,0.0,0.0
2011-03-28,0.0,0.0,0.0,0.0,23.550116052245045,34.0683615761316,25.55310278515081,0.0,0.0,0.0,0.0
2011-03-29,0.0,0.0,0.0,0.0,17.977141135399066,35.92730313546129,26.10645020870616,0.0,0.0,0.0,0.0
2011-03-30,0.0,0.0,0.0,0.0,22.448126453315034,31.38997703238014,25.42804498350589,0.0,0.0,0.0,0.0
2011-03-31,0.0,0.0,0.0,0.0,20.93869723679407,31.727684618087142,25.07500818900091,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,26.31941266973975,27.125937825909077,23.391726543029773,0.0,0.0,0.0,0.0
2011-04-04,0.0,0.0,0.0,0.0,26.588839912651647,21.6730302539103,22.44843898449359,0.0,0.0,0.0,0.0
2011-04-05,0.0,0.0,0.0,0.0,27.407643919164162,20.63272215015295,21.852304818874607,0.0,0.0,0.0,0.0
2011-04-06,0.0,0.0,0.0,0.0,34.78524267979737,20.298257950740016,22.170000452169123,0.0,0.0,0.0,0.0
2011-04-07,0.0,0.0,0.0,0.0,30.48293576658072,20.166886415436,22.041242919946882,0.0,0.0,0.0,0.0
2011-04-08,0.0,0.0,0.0,0.0,25.15336961571577,22.10445108651807,20.92770198021014,0.0,0.0,0.0,0.0
2011-04-11,0.0,0.0,0.0,0.0,25.16392257742739,23.0258564782802,19.749777739504854,0.0,0.0,0.0,0.0
2011-04-12,0.0,0.0,0.0,0.0,25.59596060628788,21.21849872317129,19.006983761787463,0.0,0.0,0.0,0.0
2011-04-13,0.0,0.0,0.0,0.0,30.5714292766638,20.318725882674308,19.08839438106141,0.0,0.0,0.0,0.0
