,Date,pos_k,neg_k,std,pos_k_hl,neg_k_hl
1501,2007-04-16,1.0,,0.09352391952045205,1.0,0.6058470684422058
1502,2007-04-17,,,0.08572449332511402,0.7915123481769635,0.47156820566620533
1503,2007-04-18,,,0.09164839801578128,0.6264917973166106,0.3670506703400149
1504,2007-04-19,,,0.0958453639224711,0.49587599360767665,0.28569821497342174
1505,2007-04-20,,,0.10139781043389891,0.3924919721049971,0.22237657259524451
1506,2007-04-23,,,0.10133838631525492,0.3106622424814335,0.17308942600081864
1507,2007-04-24,,,0.09981374626644758,0.24589300103640058,0.13472619459705426
1508,2007-04-25,,,0.10048573434279809,0.19462734665060194,0.10486572132094012
1509,2007-04-26,,,0.09279306486826314,0.15404994816686982,0.0
1510,2007-04-27,,,0.07002608820618275,0.12193243621009864,
1511,2007-04-30,,,0.05913619846426175,0.0,
1512,2007-05-01,,,0.058601616966765586,,
1513,2007-05-02,,,0.04946569637366627,,
1514,2007-05-03,,,0.041776336513947195,,
1515,2007-05-04,,,0.03856688096260291,,
1516,2007-05-07,,,0.06013680190987049,,
1517,2007-05-08,,,0.0808579498076393,,
1518,2007-05-09,,,0.10437245846311446,,
1519,2007-05-10,,,0.10503438296259676,,
1520,2007-05-11,,,0.09861077150503464,,
1521,2007-05-14,,1.0,0.08804343668301419,,1.0
1522,2007-05-15,,,0.07552671173282346,,0.8024316558074218
1523,2007-05-16,,,0.06179615024044715,,0.6438965622418407
1524,2007-05-17,1.0,,0.05374395337735652,1.0,0.5166829846084268
1525,2007-05-18,,,0.050431769255488416,0.8742753707492792,0.41460278286686053
1526,2007-05-21,,,0.051585135126160045,0.7643574238987896,0.33269039755821983
1527,2007-05-22,,,0.05751368491148846,0.6682588701640783,0.2669613065838718
1528,2007-05-23,,,0.06149143042506496,0.5842422714691939,0.214218203278609
1529,2007-05-24,,,0.06832358750973538,0.5107886284961306,0.1718954675609451
1530,2007-05-25,,,0.07315616281918615,0.4465699175529704,0.13793436466072015
1531,2007-05-29,,,0.07145774697462168,0.39042508023409817,0.11068290062744637
1532,2007-05-30,,1.0,0.0608961719839759,0.3413390317714833,1.0
1533,2007-05-31,,,0.05534777484686872,0.29842430855321356,0.8587817790487877
1534,2007-06-01,,,0.06006103777376853,0.2609050230009581,0.737506144026201
1535,2007-06-04,,,0.07273144430770498,0.22810283571451181,0.6333568384262324
1536,2007-06-05,,,0.09188107073688065,0.19942469126326676,0.5439153124763955
1537,2007-06-06,,,0.11860500823577667,0.1743520958907531,0.46710455970035614
1538,2007-06-07,,,0.16111024108954036,0.152431743275802,0.4011408847812725
1539,2007-06-08,,,0.19410649600814375,0.13326731886641074,0.34449248268166605
1540,2007-06-11,,,0.22070980339699237,0.11651233461069369,0.29584386714629485
1541,2007-06-12,,,0.24725770909280892,0.1018638645386283,0.2540653225485683
1542,2007-06-13,,,0.2560139979683925,0.0,0.21818666969286357
1543,2007-06-14,,,0.2592393122769934,,0.18737473636356763
1544,2007-06-15,,,0.2532868925972329,,0.1609140094431022
1545,2007-06-18,,,0.23655009355921133,,0.1381900193034207
1546,2007-06-19,,,0.1974937352062242,,0.11867507062417798
1547,2007-06-20,,,0.15596793822933946,,0.10191598827937207
1548,2007-06-21,,,0.13469478133362947,,0.0
1549,2007-06-22,,,0.14250979467819638,,
1550,2007-06-25,,,0.18193677514138187,,
1551,2007-06-26,,,0.24135718887411337,,
1552,2007-06-27,,,0.2811961106596073,,
1553,2007-06-28,,,0.311683251026179,,
1554,2007-06-29,,,0.3361491855443194,,
1555,2007-07-02,,,0.34495178569338925,,
1556,2007-07-03,,,0.31951432490762605,,
1557,2007-07-05,1.0,,0.2749836173312274,1.0,
1558,2007-07-06,,,0.20828744827880716,0.5028521727006596,
1559,2007-07-09,,,0.1585227000855197,0.252860307589774,
1560,2007-07-10,,1.0,0.14600867968130968,0.127151355061275,1.0
1561,2007-07-11,,,0.16263172873512952,0.0,0.6941815875271711
1562,2007-07-12,1.0,,0.15697937361260006,1.0,0.48188807646174353
1563,2007-07-13,,,0.14521205978534854,0.675401173170258,0.33451782992862794
1564,2007-07-16,,,0.13733145720867354,0.4561667447197609,0.2322161182359992
1565,2007-07-17,,,0.13120651131396757,0.30809555454498416,0.16120015360646317
1566,2007-07-18,,,0.12131271467725663,0.2080880989882235,0.11190217854015845
1567,2007-07-19,,,0.11035284994995735,0.14054294617941493,0.0
1568,2007-07-20,,,0.10111445833813756,0.0,
1569,2007-07-23,,1.0,0.11662799704345989,,1.0
1570,2007-07-24,,,0.18845785648325877,,0.7470897210144752
1571,2007-07-25,,,0.2556123024731058,,0.5581430512454865
1572,2007-07-26,,,0.34052023951775134,,0.41698293644115847
1573,2007-07-27,,,0.4164119279191979,,0.3115236656536218
1574,2007-07-30,,,0.4662781564688659,,0.23273612846257097
1575,2007-07-31,,,0.48939840628006437,,0.17387476928309123
1576,2007-08-01,,,0.48156685180349934,,0.12990005287516085
1577,2007-08-02,,,0.43437729069472014,,0.0
1578,2007-08-03,,,0.3873896305786606,,
1579,2007-08-06,1.0,,0.3133718642492278,1.0,
1580,2007-08-07,,,0.25001545372652123,0.4568365271962258,
1581,2007-08-08,,,0.18819483120533423,0.20869961258070793,
1582,2007-08-09,,,0.16643078898073868,0.0,
1583,2007-08-10,,,0.17672679835563235,,
1584,2007-08-13,,,0.19651766327783637,,
1585,2007-08-14,,,0.20473126533838915,,
1586,2007-08-15,,,0.2056949806131049,,
1587,2007-08-16,,,0.22606671117910476,,
1588,2007-08-17,,,0.306555368115481,,
1589,2007-08-20,,,0.41459288043522946,,
1590,2007-08-21,,,0.5272276739550488,,
1591,2007-08-22,,,0.6561331590033352,,
1592,2007-08-23,,,0.7691300799451626,,
1593,2007-08-24,,,0.8598980417165402,,
1594,2007-08-27,,,0.8951958497164462,,
1595,2007-08-28,,,0.840201119399321,,
1596,2007-08-29,,,0.7125680860596982,,
1597,2007-08-30,,,0.5412453484149778,,
1598,2007-08-31,,1.0,0.4041961241452692,,1.0
1599,2007-09-04,1.0,,0.2882486741277194,1.0,0.36404044300411653
1600,2007-09-05,,1.0,0.1734774774512281,0.48644974327189777,1.0
1601,2007-09-06,,,0.09014568965851437,0.23663335272929525,0.6481107455354888
1602,2007-09-07,,,0.11735109349781819,0.11511023368473412,0.42004753847856713
1603,2007-09-10,,,0.18383085564240334,0.0,0.27223732332369105
1604,2007-09-11,,,0.22676487177595608,,0.17643993458190332
1605,2007-09-12,,,0.2706913197358437,,0.11435261754411023
1606,2007-09-13,,,0.29160877544520225,,0.0
1607,2007-09-14,,,0.2985862303314997,,
1608,2007-09-17,,,0.2924136569482465,,
1609,2007-09-18,,,0.23743478190369302,,
1610,2007-09-19,1.0,,0.19012710343987335,1.0,
1611,2007-09-20,,,0.17229663174644821,0.6216874785330198,
1612,2007-09-21,,,0.2179353904406321,0.3864953209647438,
1613,2007-09-24,,,0.25884030386152174,0.24027930155538177,
1614,2007-09-25,,,0.27559028435296623,0.14937863312764035,
1615,2007-09-26,,,0.27146770570080514,0.0,
1616,2007-09-27,,,0.25596804189906724,,
1617,2007-09-28,,1.0,0.22357112305643162,,1.0
1618,2007-10-01,,,0.1482069701620318,,0.571821838289753
1619,2007-10-02,1.0,,0.12288965948419371,1.0,0.32698021474507244
1620,2007-10-03,,,0.1584025080092695,0.7354857242528281,0.18697442747990553
